id,suburb,state_id
255,CENTENNIAL PARK,70
256,MOORE PARK,70
257,PADDINGTON,70
258,BONDI JUNCTION PLAZA,70
259,QUEENS PARK,70
260,BELLEVUE HILL,70
261,BRONTE,70
262,WAVERLEY,70
263,BONDI,70
264,BONDI BEACH,70
265,NORTH BONDI,70
266,TAMARAMA,70
267,DARLING POINT,70
268,EDGECLIFF,70
269,HMAS RUSHCUTTERS,70
270,POINT PIPER,70
271,ROSE BAY,70
272,DOVER HEIGHTS,70
273,HMAS WATSON,70
274,ROSE BAY NORTH,70
275,VAUCLUSE,70
276,WATSONS BAY,70
277,CLOVELLY,70
278,CLOVELLY WEST,70
279,RANDWICK,70
280,ST PAULS,70
281,DACEYVILLE,70
282,KINGSFORD,70
283,COOGEE,70
284,SOUTH COOGEE,70
285,MAROUBRA,70
286,MAROUBRA SOUTH,70
287,PAGEWOOD,70
288,EASTGARDENS,70
289,HILLSDALE,70
290,LA PEROUSE,70
291,LITTLE BAY,70
292,MALABAR,70
293,MATRAVILLE,70
294,PHILLIP BAY,70
295,PORT BOTANY,70
296,FOREST LODGE,70
297,GLEBE,70
298,ANNANDALE,70
299,ROZELLE,70
300,LEICHHARDT,70
301,LILYFIELD,70
302,BALMAIN,70
303,BALMAIN EAST,70
304,BIRCHGROVE,70
305,ENMORE,70
306,NEWTOWN,70
307,ERSKINEVILLE,70
308,ST PETERS,70
309,SYDENHAM,70
310,TEMPE,70
311,HABERFIELD,70
312,ABBOTSFORD,70
313,CANADA BAY,70
314,CHISWICK,70
315,FIVE DOCK,70
316,RODD POINT,70
317,RUSSELL LEA,70
318,WAREEMBA,70
319,STANMORE,70
320,WESTGATE,70
321,LEWISHAM,70
322,PETERSHAM,70
323,PETERSHAM NORTH,70
324,MISSENDEN ROAD,70
325,NORTH SYDNEY,70
326,CHATSWOOD,70
327,HMAS PLATYPUS,70
328,HMAS WATERHEN,70
329,LAVENDER BAY,70
330,MCMAHONS POINT,70
331,NORTH SYDNEY SHOPPINGWORLD,70
332,WAVERTON,70
333,KIRRIBILLI,70
334,CAMMERAY,70
335,GREENWICH,70
336,NAREMBURN,70
337,ROYAL NORTH SHORE HOSPITAL,70
338,WOLLSTONECRAFT,70
339,LANE COVE NORTH,70
340,LANE COVE WEST,70
341,LINLEY POINT,70
342,LONGUEVILLE,70
343,NORTHWOOD,70
344,RIVERVIEW,70
345,CHATSWOOD WEST,70
346,CASTLECRAG,70
347,MIDDLE COVE,70
348,NORTH WILLOUGHBY,70
349,WILLOUGHBY,70
350,WILLOUGHBY EAST,70
351,WILLOUGHBY NORTH,70
352,CASTLE COVE,70
353,ROSEVILLE,70
354,ROSEVILLE CHASE,70
355,EAST LINDFIELD,70
356,LINDFIELD,70
357,LINDFIELD WEST,70
358,EAST KILLARA,70
359,KILLARA,70
360,PYMBLE,70
361,WEST PYMBLE,70
362,NORTH TURRAMURRA,70
363,SOUTH TURRAMURRA,70
364,TURRAMURRA,70
365,WARRAWEE,70
366,ST IVES,70
367,ST IVES CHASE,70
368,NORMANHURST,70
369,NORTH WAHROONGA,70
370,WAHROONGA,70
371,ASQUITH,70
372,HORNSBY HEIGHTS,70
373,WAITARA,70
374,MOUNT COLAH,70
375,MOUNT KURING-GAI,70
376,BEROWRA,70
377,COWAN,70
378,BEROWRA CREEK,70
379,BEROWRA HEIGHTS,70
380,BEROWRA WATERS,70
381,BAR POINT,70
382,BROOKLYN,70
383,CHEERO POINT,70
384,COGRA BAY,70
385,DANGAR ISLAND,70
386,MILSONS PASSAGE,70
387,MOONEY MOONEY,70
388,COTTAGE POINT,70
389,DUFFYS FOREST,70
390,TERREY HILLS,70
391,BELROSE,70
392,BELROSE WEST,70
393,DAVIDSON,70
394,FRENCHS FOREST EAST,70
395,FORESTVILLE,70
396,KILLARNEY HEIGHTS,70
397,MOSMAN,70
