suburb,state_id,postcode,postcode,suburb,
DAYMAR,72,,3283,CROSSLEY,
DAYSDALE,70,,6390,CROSSMAN,
DE GREY,76,,3821,CROSSOVER,
DE MOLE RIVER,73,,2280,CROUDACE BAY,
DEAGON,72,,2427,CROWDY HEAD,
DEAKIN,69,,6258,CROWEA,
DEAKIN UNIVERSITY,75,,3377,CROWLANDS,
DEAKIN WEST,69,,4342,CROWLEY VALE,
DEAN,75,,4605,CROWNTHORPE,
DEAN PARK,70,,1582,CROWS NEST,
DEANMILL,76,,1585,CROWS NEST,
DEANS MARSH,75,,2065,CROWS NEST,
DEAUVILLE,70,,4355,CROWS NEST,
DEBENHAM,70,,2803,CROWTHER,
DECEPTION BAY,72,,2460,CROWTHER ISLAND,
DEDDICK VALLEY,75,,3301,CROXTON EAST,
DEDDINGTON,74,,2132,CROYDON,
DEDERANG,75,,3136,CROYDON,
DEDIN,72,,4871,CROYDON,
DEE,74,,5008,CROYDON,
DEE WHY,70,,3136,CROYDON HILLS,
DEEBING HEIGHTS,72,,3136,CROYDON NORTH,
DEEP BAY,74,,2133,CROYDON PARK,
DEEP CREEK,70,,5008,CROYDON PARK,
DEEP LEAD,75,,5008,CROYDON PARK SOUTH,
DEEPDALE,76,,3136,CROYDON SOUTH,
DEEPDENE,76,,2795,CRUDINE,
DEEPWATER,70,,3393,CRYMELON,
DEER PARK,75,,4285,CRYNA,
DEER PARK EAST,75,,2832,CRYON,
DEER PARK NORTH,75,,4800,CRYSTAL BROOK,
DEER VALE,70,,5523,CRYSTAL BROOK,
DEERAGUN,72,,2484,CRYSTAL CREEK,
DEERAL,72,,3714,CRYSTAL CREEK,
DEGARRA,72,,4816,CRYSTAL CREEK,
DEGILBO,72,,4552,CRYSTAL WATERS,
DELACOMBE,75,,4871,CRYSTALBROOK,
DELAHEY,75,,6311,CUBALLING,
DELAMERE,71,,2835,CUBBA,
DELAN,72,,6383,CUBBINE,
DELANEYS CREEK,72,,7260,CUCKOO,
DELATITE,75,,2864,CUDAL,
DELBURN,75,,3265,CUDGEE,
DELEGATE,70,,2850,CUDGEGONG,
DELISSAVILLE,71,,2700,CUDGEL,
DELORAINE,74,,2487,CUDGEN,
DELTA,72,,2484,CUDGERA CREEK,
DELUNGRA,70,,3705,CUDGEWA,
DENBARKER,76,,5232,CUDLEE CREEK,
DENDY,75,,2540,CUDMIRRAH,
DENHAM,76,,6640,CUE,
DENHAM COURT,70,,5261,CULBURRA,
DENHAMS BEACH,70,,2540,CULBURRA BEACH,
DENIAL BAY,73,,2660,CULCAIRN,
DENICULL CREEK,75,,3530,CULGOA,
DENILIQUIN,70,,6566,CULHAM,
DENISON,75,,3315,CULLA,
DENISTONE,70,,6067,CULLACABARDEE,
DENISTONE EAST,70,,6503,CULLALLA,
DENISTONE WEST,70,,3568,CULLEN,
DENMAN,70,,820,CULLEN BAY,
DENMARK,76,,2790,CULLEN BULLEN,
DENNES POINT,74,,2850,CULLENBONE,
DENNINGTON,75,,2372,CULLENDORE,
DENVER,75,,2581,CULLERIN,
DEPOT BEACH,70,,4860,CULLINANE,
DEPOT HILL,72,,3496,CULLULLERAINE,
DEPTFORD,75,,2469,CULMARAN CREEK,
DERBY,74,,5600,CULTANA,
DEREEL,75,,2478,CUMBALUM,
DERGHOLM,75,,2852,CUMBANDRY,
DERNANCOURT,73,,5041,CUMBERLAND PARK,
DERRI DERRA,72,,2756,CUMBERLAND REACH,
DERRIMUT,75,,2871,CUMBIJOWA,
DERRINAL,75,,2850,CUMBO,
DERRINALLUM,75,,2830,CUMBOOGLE,
DERRIWONG,70,,2832,CUMBORAH,
DERRYMORE,72,,5631,CUMMINS,
DERWENT BRIDGE,74,,2867,CUMNOCK,
DERWENT PARK,74,,3251,CUNDARE NORTH,
DESAILLY,72,,6434,CUNDEELEE,
DESERT SPRINGS,71,,6407,CUNDERDIN,
DETENTION,74,,6275,CUNDINUP,
DEUA,70,,2424,CUNDLE FLAT,
DEUA RIVER VALLEY,70,,2430,CUNDLETOWN,
DEUCHAR,72,,2866,CUNDUMBUL,
DEVENISH,75,,5660,CUNGENA,
DEVEREUX CREEK,72,,4816,CUNGULLA,
DEVILS CREEK,76,,6401,CUNJARDINE,
DEVILS HOLE,70,,2539,CUNJURONG POINT,
DEVILS RIVER,75,,5554,CUNLIFFE,
DEVIOT,74,,4490,CUNNAMULLA,
DEVLINS POUND,73,,2587,CUNNINGAR,
DEVON HILLS,74,,4370,CUNNINGHAM,
DEVON MEADOWS,75,,5571,CUNNINGHAM,
DEVON NORTH,75,,2734,CUNNINYEUK,
DEVON PARK,72,,5641,CUNYARIE,
DEVONPORT,74,,7316,CUPRONA,
DEWARS POOL,76,,2827,CURBAN,
DEWHURST,75,,3268,CURDIES RIVER,
DEWITT,70,,3268,CURDIEVALE,
DHARRUK,70,,2096,CURL CURL,
DHURAGOON,70,,2672,CURLEW WATERS,
DHURRINGILE,75,,2381,CURLEWIS,
DIAMANTINA LAKES,72,,3222,CURLEWIS,
DIAMOND BEACH,70,,2648,CURLWAA,
DIAMOND CREEK,75,,4570,CURRA,
DIAMOND HEAD,70,,2820,CURRA CREEK,
DIAMOND TREE,76,,2342,CURRABUBULA,
DIAMOND VALLEY,72,,2795,CURRAGH,
DIANELLA,76,,4871,CURRAJAH,
DICKSON,69,,4812,CURRAJONG,
DICKY BEACH,72,,6028,CURRAMBINE,
DIDCOT,72,,2533,CURRAMORE,
DIDDILLIBAH,72,,4552,CURRAMORE,
DIEHARD,70,,5580,CURRAMULKA,
DIGBY,75,,2567,CURRANS HILL,
DIGGERS CAMP,70,,2540,CURRARONG,
DIGGERS REST,75,,2650,CURRAWANANNA,
DIGGORA,75,,2580,CURRAWANG,
DIGLUM,72,,2650,CURRAWARNA,
DIGNAMS CREEK,70,,2108,CURRAWONG BEACH,
DILKOON,70,,5214,CURRENCY CREEK,
DILPURRA,70,,2422,CURRICABARK,
DILSTON,74,,7256,CURRIE,
DIMBOOLA,75,,4551,CURRIMUNDI,
DIMBULAH,72,,2536,CURROWAN,
DINDILOA,76,,4223,CURRUMBIN,
DINGABLEDINGA,73,,4223,CURRUMBIN VALLEY,
DINGEE,75,,4223,CURRUMBIN WATERS,
DINGLEY VILLAGE,75,,2605,CURTIN,
DINGO,72,,4680,CURTIS ISLAND,
DINGO BEACH,72,,3483,CURYO,
DINGO FOREST,70,,4608,CUSHNIE,
DINGO POCKET,72,,5270,CUSTON,
DINGUP,76,,4352,CUTELLA,
DINGWALL,75,,6330,CUTHBERT,
DINMORE,72,,2388,CUTTABRI,
DINNER PLAIN,75,,4490,CUTTABURRA,
DINNINUP,76,,2546,CUTTAGEE,
DINOGA,70,,5222,CUTTLEFISH BAY,
DIREK,73,,7112,CYGNET,
DIRK HARTOG ISLAND,76,,5223,CYGNET RIVER,
DIRNASEER,70,,4627,CYNTHIA,
DIRNBIR,72,,4357,CYPRESS GARDENS,
DIRRANBANDI,72,,4514,D'AGUILAR,
DIRTY CREEK,70,,5223,D'ESTREES BAY,
DISMAL SWAMP,73,,6410,DAADENNING CREEK,
DITTMER,72,,2849,DABEE,
DIWAN,72,,2032,DACEYVILLE,
DIXALEA,72,,3385,DADSWELLS BRIDGE,
DIXIE,72,,6638,DAGGAR HILLS,
DIXONS CREEK,75,,6008,DAGLISH,
DIXVALE,76,,4873,DAGMAR,
DJARAWONG,72,,4570,DAGUN,
DJIRU,72,,4873,DAINTREE,
DJUAN,72,,2474,DAIRY FLAT,
DJUGUN,76,,7304,DAIRY PLAINS,
DOBIE,75,,2630,DAIRYMANS PLAINS,
DOBIES BIGHT,70,,3465,DAISY HILL,
DOCKER,75,,4127,DAISY HILL,
DOCKER RIVER,71,,4825,DAJARRA,
DOCKERS PLAINS,75,,4503,DAKABIN,
DOCKLANDS,75,,4715,DAKENBA,
DOCTOR CREEK,72,,4807,DALBEG,
DOCTOR GEORGE MOUNTAIN,70,,4405,DALBY,
DOCTORS FLAT,75,,4380,DALCOUTH,
DOCTORS GAP,70,,6304,DALE,
DOCTORS POINT,74,,3341,DALES CREEK,
DOCTORS ROCKS,74,,2257,DALEYS POINT,
DODGES FERRY,74,,4630,DALGA,
DOG ROCKS,70,,2628,DALGETY,
DOG SWAMP,76,,6302,DALIAK,
DOLANS BAY,70,,6009,DALKEITH,
DOLLAR,75,,5461,DALKEY,
DOLLS POINT,70,,4621,DALLARNIL,
DOLLYS FLAT,70,,3047,DALLAS,
DOLPHIN HEADS,72,,4702,DALMA,
DOLPHIN POINT,70,,2546,DALMENY,
DOLPHIN SANDS,74,,3981,DALMORE,
DOMAIN ROAD PO,75,,2460,DALMORTON,
DOMBARTON,70,,4850,DALRYMPLE CREEK,
DOMVILLE,72,,4757,DALRYMPLE HEIGHTS,
DON,74,,2328,DALSWINTON,
DON VALLEY,75,,2581,DALTON,
DONALD,75,,3568,DALTONS BRIDGE,
DONALD CREEK,70,,4374,DALVEEN,
DONCASTER,75,,6609,DALWALLINU,
DONCASTER EAST,75,,4415,DALWOGAN,
DONCASTER HEIGHTS,75,,2335,DALWOOD,
DONDINGALONG,70,,2477,DALWOOD,
DONGARA,76,,822,DALY RIVER,
DONGOLOCKING,76,,852,DALY WATERS,
DONNELLY RIVER,76,,6230,DALYELLUP,
DONNELLYVILLE,70,,4671,DALYSFORD,
DONNYBROOK,72,,3992,DALYSTON,
DONOVANS,73,,6450,DALYUP,
DONVALE,75,,4671,DAMASCUS,
DOOBOOBETIC,75,,4849,DAMPER CREEK,
DOODENANNING,76,,6713,DAMPIER,
DOODLAKINE,76,,6713,DAMPIER ARCHIPELAGO,
DOOEN,75,,6725,DAMPIER PENINSULA,
DOOKIE,75,,4872,DANBULLA,
DOOKIE COLLEGE,75,,2823,DANDALOO,
DOOLANDELLA,72,,6479,DANDANNING,
DOOLBI,72,,6507,DANDARAGAN,
DOOMADGEE,72,,3175,DANDENONG,
DOON DOON,70,,8785,DANDENONG,
DOONAN,72,,3175,DANDENONG EAST,
DOONBAH,70,,3175,DANDENONG NORTH,
DOONGUL,72,,3164,DANDENONG SOUTH,
DOONSIDE,70,,3175,DANDENONG SOUTH,
DOORALONG,70,,4370,DANDEROO,
DORA CREEK,70,,3737,DANDONGADALE,
DOREEN,75,,2357,DANDRY,
DORODONG,75,,2309,DANGAR,
DORRE ISLAND,76,,2083,DANGAR ISLAND,
DORRIGO,70,,2350,DANGARSLEIGH,
DORRIGO MOUNTAIN,70,,2630,DANGELONG,
DORROUGHBY,70,,6383,DANGIN,
DORSET VALE,73,,4610,DANGORE,
DOTSWOOD,72,,2530,DAPTO,
DOUBLE BAY,70,,4860,DARADGEE,
DOUBLE BRIDGES,75,,2428,DARAWANK,
DOUBLEVIEW,76,,2722,DARBALARA,
DOUBTFUL CREEK,70,,2793,DARBYS FALLS,
DOUGHBOY,72,,6065,DARCH,
DOUGLAS,72,,6236,DARDANUP,
DOUGLAS PARK,70,,6236,DARDANUP WEST,
DOUGLAS POINT,73,,2717,DARETON,
DOUGLAS POINT SOUTH,73,,4455,DARGAL ROAD,
DOUGLAS RIVER,74,,2786,DARGAN,
DOUGLAS-DALY,71,,3862,DARGO,
DOVER,74,,2795,DARK CORNER,
DOVER GARDENS,73,,6392,DARKAN,
DOVER HEIGHTS,70,,5642,DARKE PEAK,
DOVETON,75,,2508,DARKES FOREST,
DOWERIN,76,,2454,DARKWOOD,
DOWLING,73,,3340,DARLEY,
DOWLINGVILLE,73,,3871,DARLIMURLA,
DOWNER,69,,3145,DARLING,
DOWNLANDS,74,,6122,DARLING DOWNS,
DOWNSFIELD,72,,4350,DARLING HEIGHTS,
DOWNSIDE,70,,2027,DARLING POINT,
DOWS CREEK,72,,1300,DARLINGHURST,
DOWSING POINT,74,,2010,DARLINGHURST,
DOYALSON,70,,2008,DARLINGTON,
DOYALSON NORTH,70,,2330,DARLINGTON,
DOYLES CREEK,70,,3271,DARLINGTON,
DOYLES RIVER,70,,4285,DARLINGTON,
DRAKE,70,,5047,DARLINGTON,
DRAKE VILLAGE,70,,6070,DARLINGTON,
DRAPER,72,,2706,DARLINGTON POINT,
DRAYTON,72,,2729,DARLOW,
DRAYTON NORTH,72,,4875,DARNLEY ISLAND,
DREEITE,75,,3822,DARNUM,
DREEITE SOUTH,75,,2870,DAROOBALGIE,
DREWVALE,72,,4076,DARRA,
DRIFFIELD,75,,6275,DARRADUP,
DRIK DRIK,75,,3756,DARRAWEIT GUIM,
DRILDOOL,70,,3851,DARRIMAN,
DRILLHAM,72,,2336,DARTBROOK,
DRILLHAM SOUTH,72,,3304,DARTMOOR,
DRINAN,72,,6532,DARTMOOR,
DRIPSTONE,70,,3701,DARTMOUTH,
DRIVER,71,,6320,DARTNALL,
DROMANA,75,,4695,DARTS CREEK,
DROME,76,,2340,DARUKA,
DROMEDARY,72,,800,DARWIN,
DROPMORE,75,,801,DARWIN,
DROUIN,75,,841,DARWIN RIVER,
DROUIN EAST,75,,6317,DATATINE,
DROUIN SOUTH,75,,4875,DAUAN ISLAND,
DROUIN WEST,75,,6230,DAVENPORT,
DRUMANURE,75,,4855,DAVESON,
DRUMBORG,75,,5355,DAVEYSTON,
DRUMCONDRA,75,,2085,DAVIDSON,
DRUMMARTIN,75,,7151,DAVIS,
DRUMMOND,75,,2336,DAVIS CREEK,
DRUMMOND COVE,76,,2251,DAVISTOWN,
DRUMMOND NORTH,75,,5113,DAVOREN PARK,
DRUMMONDSLOPE,72,,5113,DAVOREN PARK NORTH,
DRUMMOYNE,70,,5113,DAVOREN PARK SOUTH,
DRUNG,75,,5041,DAW PARK,
DRY CREEK,70,,2000,DAWES POINT,
DRY DIGGINGS,75,,5252,DAWESLEY,
DRY PLAIN,70,,6211,DAWESVILLE,
DRYANDRA,76,,3858,DAWSON,
DRYSDALE,75,,5422,DAWSON,
DRYSDALE RIVER,76,,4521,DAYBORO,
DUARINGA,72,,4741,DAYDREAM ISLAND,
DUBBO,70,,3460,DAYLESFORD,
DUBBO DC,70,,4497,DAYMAR,
DUBBO EAST,70,,2646,DAYSDALE,
DUBBO GROVE,70,,6722,DE GREY,
DUBBO WEST,70,,5223,DE MOLE RIVER,
DUBLIN,73,,4017,DEAGON,
DUCHEMBEGARRA,75,,2600,DEAKIN,
DUCHESS,72,,3217,DEAKIN UNIVERSITY,
DUCK CREEK,70,,2600,DEAKIN WEST,
DUCK PONDS,73,,3363,DEAN,
DUCKENFIELD,70,,2761,DEAN PARK,
DUCKINWILLA,72,,6258,DEANMILL,
DUCKLO,72,,3235,DEANS MARSH,
DUCKMALOI,70,,2443,DEAUVILLE,
DUDAWA,76,,2446,DEBENHAM,
DUDININ,76,,4508,DECEPTION BAY,
DUDLEY,70,,3888,DEDDICK VALLEY,
DUDLEY EAST,73,,7212,DEDDINGTON,
DUDLEY PARK,73,,3691,DEDERANG,
DUDLEY WEST,73,,4873,DEDIN,
DUFFY,69,,7140,DEE,
DUFFYS FOREST,70,,2099,DEE WHY,
DUGANDAN,72,,4306,DEEBING HEIGHTS,
DUINGAL,72,,7112,DEEP BAY,
DUKIN,76,,2440,DEEP CREEK,
DULACCA,72,,2469,DEEP CREEK,
DULBELLING,76,,4625,DEEP CREEK,
DULCOT,74,,5204,DEEP CREEK,
DULGUIGAN,70,,3381,DEEP LEAD,
DULONG,72,,6532,DEEPDALE,
DULULU,72,,6290,DEEPDENE,
DULWICH,73,,2371,DEEPWATER,
DULWICH HILL,70,,4674,DEEPWATER,
DULYALBIN,76,,5266,DEEPWATER,
DUM DUM,70,,3023,DEER PARK,
DUMARESQ,70,,3022,DEER PARK EAST,
DUMARESQ ISLAND,70,,3023,DEER PARK NORTH,
DUMBALK,75,,2453,DEER VALE,
DUMBALK NORTH,75,,4818,DEERAGUN,
DUMBARTON,76,,4871,DEERAL,
DUMBERNING,76,,4895,DEGARRA,
DUMBLETON,72,,4621,DEGILBO,
DUMBLEYUNG,76,,3356,DELACOMBE,
DUMBUDGERY,70,,3037,DELAHEY,
DUMGREE,72,,5204,DELAMERE,
DUMOSA,75,,4671,DELAN,
DUMPY CREEK,72,,4514,DELANEYS CREEK,
DUNACH,75,,3723,DELATITE,
DUNALLEY,74,,3871,DELBURN,
DUNBIBLE,70,,2633,DELEGATE,
DUNBOGAN,70,,3888,DELEGATE RIVER EAST,
DUNCAN,73,,3888,DELLICKNORA,
DUNCANS CREEK,70,,7304,DELORAINE,
DUNCRAIG,76,,2830,DELROY GARDENS,
DUNDARRAH,72,,4805,DELTA,
DUNDAS,70,,2403,DELUNGRA,
DUNDAS VALLEY,70,,2587,DEMONDRILLE,
DUNDATHU,72,,6324,DENBARKER,
DUNDEE,70,,3186,DENDY,
DUNDEE BEACH,71,,6537,DENHAM,
DUNDEE DOWNS,71,,2565,DENHAM COURT,
DUNDEE FOREST,71,,2536,DENHAMS BEACH,
DUNDONNELL,75,,5690,DENIAL BAY,
DUNDOWRAN,72,,3377,DENICULL CREEK,
DUNDOWRAN BEACH,72,,2710,DENILIQUIN,
DUNDULA,72,,3858,DENISON,
DUNDURRABIN,70,,2114,DENISTONE,
DUNEARN,75,,2112,DENISTONE EAST,
DUNEDOO,70,,2114,DENISTONE WEST,
DUNGARUBBA,70,,2328,DENMAN,
DUNGAY,70,,6333,DENMARK,
DUNGEREE,70,,7150,DENNES POINT,
DUNGOG,70,,3280,DENNINGTON,
DUNGOWAN,70,,3461,DENVER,
DUNK,72,,2536,DEPOT BEACH,
DUNKELD,70,,4700,DEPOT HILL,
DUNKIRK,75,,3875,DEPTFORD,
DUNLOP,69,,3516,DERBY,
DUNLUCE,75,,6728,DERBY,
DUNMARRA,71,,7264,DERBY,
DUNMORA,72,,3352,DEREEL,
DUNMORE,70,,3312,DERGHOLM,
DUNN ROCK,76,,5075,DERNANCOURT,
DUNNEWORTHY,75,,4626,DERRI DERRA,
DUNNROCK,72,,3030,DERRIMUT,
DUNNSTOWN,75,,3523,DERRINAL,
DUNOLLY,70,,3325,DERRINALLUM,
DUNOON,70,,2877,DERRIWONG,
DUNORLAN,74,,4352,DERRYMORE,
DUNROBIN,72,,7140,DERWENT BRIDGE,
DUNS CREEK,70,,7009,DERWENT PARK,
DUNSBOROUGH,76,,4871,DESAILLY,
DUNTROON,69,,7321,DETENTION,
DUNVILLE LOOP,70,,2537,DEUA,
DUNWICH,72,,2537,DEUA RIVER VALLEY,
DURACK,71,,4362,DEUCHAR,
DURAH,72,,3726,DEVENISH,
DURAL,70,,4753,DEVEREUX CREEK,
DURAMANA,70,,6630,DEVILS CREEK,
DURANBAH,70,,2550,DEVILS HOLE,
DURANILLIN,76,,7275,DEVIOT,
DURAWAH,76,,5330,DEVLINS POUND,
DURDIDWARRAH,75,,7300,DEVON HILLS,
DURHAM DOWNS,72,,3977,DEVON MEADOWS,
DURHAM LEAD,75,,3971,DEVON NORTH,
DURHAM OX,75,,4401,DEVON PARK,
DURI,70,,5008,DEVON PARK,
DUROBY,70,,7310,DEVONPORT,
DURONG,72,,6567,DEWARS POOL,
DURONG SOUTH,72,,3808,DEWHURST,
DURRAN DURRA,70,,2422,DEWITT,
DURRAS NORTH,70,,2770,DHARRUK,
DURREN DURREN,70,,2733,DHURAGOON,
DUTSON,75,,3610,DHURRINGILE,
DUTSON DOWNS,75,,4735,DIAMANTINA LAKES,
DUTTON,73,,2430,DIAMOND BEACH,
DUTTON EAST,73,,3089,DIAMOND CREEK,
DUTTON PARK,72,,2443,DIAMOND HEAD,
DUTTON RIVER,72,,3550,DIAMOND HILL,
DUTTON WAY,75,,6258,DIAMOND TREE,
DUVAL,70,,4553,DIAMOND VALLEY,
DUVERNEY,75,,6059,DIANELLA,
DWARDA,76,,2602,DICKSON,
DWELLINGUP,76,,4551,DICKY BEACH,
DYERS CROSSING,70,,2830,DICKYGUNDI,
DYKEHEAD,72,,4621,DIDCOT,
DYNEVOR,72,,4559,DIDDILLIBAH,
DYNNYRNE,74,,2370,DIEHARD,
DYRAABA,70,,3309,DIGBY,
DYRRING,70,,2462,DIGGERS CAMP,
DYSART,72,,3427,DIGGERS REST,
EAGLE BAY,76,,3561,DIGGORA,
EAGLE FARM,72,,3561,DIGGORA WEST,
EAGLE FARM BC,72,,4680,DIGLUM,
EAGLE HEIGHTS,72,,2546,DIGNAMS CREEK,
EAGLE ON THE HILL,73,,2460,DILKOON,
EAGLE POINT,75,,2734,DILPURRA,
EAGLE VALE,70,,7252,DILSTON,
EAGLEBY,72,,3414,DIMBOOLA,
EAGLEFIELD,72,,4872,DIMBULAH,
EAGLEHAWK,75,,6532,DINDILOA,
EAGLEHAWK NECK,74,,5172,DINGABLEDINGA,
EAGLEHAWK NORTH,75,,3571,DINGEE,
EAGLEMONT,75,,3172,DINGLEY VILLAGE,
EAGLETON,70,,4702,DINGO,
EARLSTON,75,,4800,DINGO BEACH,
EARLVILLE,72,,2429,DINGO FOREST,
EARLVILLE BC,72,,4854,DINGO POCKET,
EARLWOOD,70,,6258,DINGUP,
EAST ALBURY,70,,3579,DINGWALL,
EAST ARM,71,,4303,DINMORE,
EAST ARNHEM,71,,3898,DINNER PLAIN,
EAST AUGUSTA,76,,6244,DINNINUP,
EAST BAIRNSDALE,75,,2404,DINOGA,
EAST BALLIDU,76,,5110,DIREK,
EAST BALLINA,70,,6537,DIRK HARTOG ISLAND,
EAST BARRON,72,,2666,DIRNASEER,
EAST BENDIGO,75,,4625,DIRNBIR,
EAST BEVERLEY,76,,4486,DIRRANBANDI,
EAST BOWES,76,,2460,DIRTY CREEK,
EAST BOWRAL,70,,5291,DISMAL SWAMP,
EAST BRANXTON,70,,4800,DITTMER,
EAST BRISBANE,72,,4873,DIWAN,
EAST BUNBURY,76,,4702,DIXALEA,
EAST CAM,74,,3265,DIXIE,
EAST CANNINGTON,76,,4871,DIXIE,
EAST CARNARVON,76,,3775,DIXONS CREEK,
EAST CHAPMAN,76,,6258,DIXVALE,
EAST COOYAR,72,,4854,DJARAWONG,
EAST CORAKI,70,,4852,DJIRU,
EAST CORRIMAL,70,,4352,DJUAN,
EAST CREEK,72,,6725,DJUGUN,
EAST DAMBORING,76,,3377,DOBIE,
EAST DEEP CREEK,72,,2470,DOBIES BIGHT,
EAST DEVONPORT,74,,3678,DOCKER,
EAST END,72,,3678,DOCKERS PLAINS,
EAST FELUGA,72,,3008,DOCKLANDS,
EAST FREMANTLE,76,,4352,DOCTOR CREEK,
EAST GEELONG,75,,2550,DOCTOR GEORGE MOUNTAIN,
EAST GOSFORD,70,,3895,DOCTORS FLAT,
EAST GREENMOUNT,72,,2790,DOCTORS GAP,
EAST GRESFORD,70,,7304,DOCTORS POINT,
EAST HALDON,72,,7325,DOCTORS ROCKS,
EAST HILLS,70,,7173,DODGES FERRY,
EAST INNISFAIL,72,,2620,DODSWORTH,
EAST IPSWICH,72,,2795,DOG ROCKS,
EAST JINDABYNE,70,,6060,DOG SWAMP,
EAST KANGALOON,70,,2229,DOLANS BAY,
EAST KEMPSEY,70,,2219,DOLLS POINT,
EAST KILLARA,70,,2429,DOLLYS FLAT,
EAST KURRAJONG,70,,4740,DOLPHIN HEADS,
EAST LAUNCESTON,74,,2539,DOLPHIN POINT,
EAST LINDFIELD,70,,7190,DOLPHIN SANDS,
EAST LISMORE,70,,2526,DOMBARTON,
EAST LYNNE,70,,4357,DOMVILLE,
EAST LYONS RIVER,76,,7310,DON,
EAST MACKAY,72,,3139,DON VALLEY,
EAST MAITLAND,70,,3480,DONALD,
EAST MELBOURNE,75,,2350,DONALD CREEK,
EAST MOONTA,73,,3108,DONCASTER,
EAST MUNGLINUP,76,,3109,DONCASTER EAST,
EAST MURCHISON,76,,3109,DONCASTER HEIGHTS,
EAST NABAWA,76,,2440,DONDINGALONG,
EAST NANANGO,72,,6525,DONGARA,
EAST NANNUP,76,,6315,DONGOLOCKING,
EAST NEWDEGATE,76,,6258,DONNELLY RIVER,
EAST PALMERSTON,72,,2447,DONNELLYVILLE,
EAST PERTH,76,,3064,DONNYBROOK,
EAST PINGELLY,76,,4510,DONNYBROOK,
EAST POINT,71,,6239,DONNYBROOK,
EAST POPANYINNING,76,,5291,DONOVANS,
EAST RIDGLEY,74,,3111,DONVALE,
EAST ROCKINGHAM,76,,3478,DOOBOOBETIC,
EAST RUSSELL,72,,6383,DOODENANNING,
EAST RYDE,70,,6411,DOODLAKINE,
EAST SALE,75,,3401,DOOEN,
EAST SEAHAM,70,,3646,DOOKIE,
EAST SIDE,71,,3647,DOOKIE COLLEGE,
EAST TAMWORTH,70,,4077,DOOLANDELLA,
EAST TOOWOOMBA,72,,4660,DOOLBI,
EAST TRINITY,72,,4830,DOOMADGEE,
EAST VICTORIA PARK,76,,2484,DOON DOON,
EAST WAGGA WAGGA,70,,4562,DOONAN,
EAST WANGARATTA,75,,2473,DOONBAH,
EAST WARBURTON,75,,6409,DOONGIN,
EAST WARDELL,70,,4620,DOONGUL,
EAST WICKEPIN,76,,2767,DOONSIDE,
EAST YUNA,76,,2259,DOORALONG,
EASTBROOK,76,,2264,DORA CREEK,
EASTERN CREEK,70,,3754,DOREEN,
EASTERN HEIGHTS,72,,3312,DORODONG,
EASTERN SUBURBS MC,70,,6701,DORRE ISLAND,
EASTERN VIEW,75,,2453,DORRIGO,
EASTGARDENS,70,,2453,DORRIGO MOUNTAIN,
EASTLAKES,70,,2480,DORROUGHBY,
EASTVILLE,75,,5157,DORSET VALE,
EASTWOOD,70,,4820,DOTSWOOD,
EATON,71,,1360,DOUBLE BAY,
EATONS HILL,72,,2028,DOUBLE BAY,
EATONSVILLE,70,,3893,DOUBLE BRIDGES,
EBA,73,,6018,DOUBLEVIEW,
EBA ANCHORAGE,73,,2470,DOUBTFUL CREEK,
EBBW VALE,72,,4671,DOUGHBOY,
EBDEN,75,,3409,DOUGLAS,
EBENEZER,70,,4354,DOUGLAS,
EBOR,70,,4814,DOUGLAS,
ECCLESTON,70,,2569,DOUGLAS PARK,
ECHUCA,75,,7215,DOUGLAS RIVER,
ECHUCA SOUTH,75,,7117,DOVER,
ECHUCA VILLAGE,75,,5048,DOVER GARDENS,
ECHUCA WEST,75,,2030,DOVER HEIGHTS,
ECHUNGA,73,,3177,DOVETON,
ECKLIN SOUTH,75,,6461,DOWERIN,
EDDERTON,70,,5555,DOWLING,
EDDINGTON,75,,2602,DOWNER,
EDDYSTONE,74,,7320,DOWNLANDS,
EDDYSTONE POINT,74,,4570,DOWNSFIELD,
EDEN,70,,2650,DOWNSIDE,
EDEN CREEK,70,,4754,DOWS CREEK,
EDEN HILL,76,,7010,DOWSING POINT,
EDEN HILLS,73,,2262,DOYALSON,
EDEN PARK,75,,2262,DOYALSON NORTH,
EDEN VALLEY,73,,2330,DOYLES CREEK,
EDENHOPE,75,,2446,DOYLES RIVER,
EDENS LANDING,72,,2469,DRAKE,
EDENSOR PARK,70,,2469,DRAKE VILLAGE,
EDENVILLE,70,,4520,DRAPER,
EDGCUMBE BEACH,74,,4350,DRAYTON,
EDGE HILL,72,,4350,DRAYTON NORTH,
EDGECLIFF,70,,3249,DREEITE,
EDGECOMBE,75,,3249,DREEITE SOUTH,
EDGEROI,70,,4116,DREWVALE,
EDGEWATER,76,,3840,DRIFFIELD,
EDGEWORTH,70,,3304,DRIK DRIK,
EDI,75,,2386,DRILDOOL,
EDI UPPER,75,,4424,DRILLHAM,
EDILLILIE,73,,4424,DRILLHAM SOUTH,
EDINBURGH,73,,4671,DRINAN,
EDITH,70,,2820,DRIPSTONE,
EDITH CREEK,74,,830,DRIVER,
EDITHBURGH,73,,3936,DROMANA,
EDITHVALE,75,,6330,DROME,
EDMONDSON PARK,70,,4718,DROMEDARY,
EDMONTON,72,,7030,DROMEDARY,
EDROM,70,,3660,DROPMORE,
EDWARD RIVER,72,,3818,DROUIN,
EDWARDSTOWN,73,,3818,DROUIN EAST,
