suburb,state_id,postcode
ANNANDALE,70,2038
ANNANDALE,72,4814
ANNANGROVE,70,2156
ANNERLEY,72,4103
ANNIEBROOK,76,6280
ANNUELLO,75,3549
ANSONS BAY,74,7216
ANSTEAD,72,4070
ANTECHAMBER BAY,73,5222
ANTHONY,72,4310
ANTIGUA,72,4650
ANTILL PONDS,74,7120
ANTONYMYRE,76,6714
ANTWERP,75,3414
APAMURRA,73,5237
APOINGA,73,5413
APOLLO BAY,75,3233
APOLLO BAY,74,7150
APPILA,73,5480
APPIN,70,2560
APPIN,75,3579
APPIN PARK,75,3677
APPIN SOUTH,75,3579
APPLE TREE CREEK,72,4660
APPLE TREE FLAT,70,2850
APPLEBY,70,2340
APPLECROSS,76,6153
APPLETHORPE,72,4378
APPLETREE FLAT,70,2330
APSLAWN,74,7190
APSLEY,70,2820
APSLEY,75,3319
APSLEY,74,7030
ARABLE,70,2630
ARAKOON,70,2431
ARALUEN,70,2622
ARALUEN,72,4570
ARALUEN NORTH,70,2622
ARAMAC,72,4726
ARAMARA,72,4620
ARANA HILLS,72,4054
ARANBANGA,72,4625
ARANDA,69,2614
ARAPILES,75,3409
ARARAT,75,3377
ARATULA,70,2714
ARATULA,72,4309
ARAWATA,75,3951
ARBOUIN,72,4871
ARCADIA,70,2159
ARCADIA,75,3631
ARCADIA,72,4819
ARCADIA SOUTH,75,3631
ARCADIA VALE,70,2283
ARCHDALE,75,3475
ARCHDALE JUNCTION,75,3475
ARCHER RIVER,72,4871
ARCHERFIELD,72,4108
ARCHERTON,75,3723
ARCHIES CREEK,75,3995
ARDATH,76,6419
ARDEER,75,3022
ARDGLEN,70,2338
ARDING,70,2358
ARDLETHAN,70,2665
ARDMONA,75,3629
ARDROSS,76,6153
ARDROSSAN,73,5571
AREEGRA,75,3480
AREYONGA,71,872
ARGALONG,70,2720
ARGENTON,70,2284
ARGENTS HILL,70,2449
ARGOON,70,2707
ARGOON,72,4702
ARGYLE,70,2350
ARGYLE,75,3523
ARGYLE,76,6239
ARGYLL,72,4721
ARIAH PARK,70,2665
ARKELL,70,2795
ARKSTONE,70,2795
ARMADALE,75,3143
ARMADALE,76,6112
ARMADALE,76,6992
ARMADALE NORTH,75,3143
ARMAGH,73,5453
ARMATREE,70,2831
ARMIDALE,70,2350
ARMSTRONG,75,3377
ARMSTRONG BEACH,72,4737
ARMSTRONG CREEK,72,4520
ARNCLIFFE,70,2205
ARNDELL PARK,70,2148
ARNO BAY,73,5603
ARNOLD,75,3551
ARNOLD WEST,75,3551
AROONA,72,4551
ARRAWARRA,70,2456
ARRAWARRA HEADLAND,70,2456
ARRIGA,72,4880
ARRINO,76,6519
ARROWSMITH,76,6525
ARROWSMITH EAST,76,6519
ARTARMON,70,1570
ARTARMON,70,2064
ARTHUR RIVER,76,6315
ARTHUR RIVER,74,7330
ARTHURS CREEK,75,3099
ARTHURS LAKE,74,7030
ARTHURS SEAT,75,3936
ARTHURTON,73,5572
ARTHURVILLE,70,2820
ARUMPO,70,2715
ARUNDEL,72,4214
ASCOT,75,3364
ASCOT,75,3551
ASCOT,72,4007
ASCOT,76,6104
ASCOT PARK,73,5043
ASCOT VALE,75,3032
ASHBOURNE,75,3442
ASHBOURNE,73,5157
ASHBURTON,75,3147
ASHBURY,70,2193
ASHBY,70,2463
ASHBY,76,6065
ASHBY HEIGHTS,70,2463
ASHBY ISLAND,70,2463
ASHCROFT,70,2168
ASHENDON,76,6111
ASHFIELD,70,1800
ASHFIELD,70,2131
ASHFIELD,72,4670
ASHFIELD,76,6054
ASHFORD,70,2361
ASHFORD,73,5035
ASHGROVE,72,4060
ASHGROVE WEST,72,4060
ASHLEY,70,2400
ASHMONT,70,2650
ASHMORE,72,4214
ASHMORE CITY,72,4214
ASHTON,73,5137
ASHTONFIELD,70,2323
ASHVILLE,73,5259
ASHWELL,72,4340
ASHWOOD,75,3147
ASPENDALE,75,3195
ASPENDALE GARDENS,75,3195
ASPLEY,72,4034
ASQUITH,70,2077
ATHELSTONE,73,5076
ATHERTON,72,4883
ATHLONE,75,3818
ATHOL,72,4350
ATHOL PARK,73,5012
ATHOLWOOD,70,2361
ATKINSONS DAM,72,4311
ATTADALE,76,6156
ATTUNGA,70,2345
ATTWOOD,75,3049
ATWELL,76,6164
AUBIGNY,72,4401
AUBIN GROVE,76,6164
AUBREY,75,3393
AUBURN,70,1835
AUBURN,70,2144
AUBURN,75,3123
AUBURN,73,5451
AUBURN SOUTH,75,3122
AUBURN VALE,70,2360
AUCHENFLOWER,72,4066
AUCHMORE,75,3570
AUDLEY,70,2232
AUGATHELLA,72,4477
AUGUSTA,76,6290
AUGUSTINE HEIGHTS,72,4300
AULDANA,73,5072
AURUKUN,72,4871
AURVILLE,70,2587
AUSTINMER,70,2515
AUSTINS FERRY,74,7011
AUSTINVILLE,72,4213
AUSTRAL,70,2179
AUSTRAL EDEN,70,2440
AUSTRALIA FAIR,72,4215
AUSTRALIA PLAINS,73,5374
AUSTRALIA SQUARE,70,1209
AUSTRALIA SQUARE,70,1210
AUSTRALIA SQUARE,70,1211
AUSTRALIA SQUARE,70,1212
AUSTRALIA SQUARE,70,1213
AUSTRALIA SQUARE,70,1214
AUSTRALIA SQUARE,70,1215
AUSTRALIAN NATIONAL UNIVERSITY,69,200
AUSTRALIND,76,6233
AVALON BEACH,70,2107
AVELEY,76,6069
AVENEL,75,3664
AVENELL HEIGHTS,72,4670
AVENUE RANGE,73,5273
AVISFORD,70,2850
AVOCA,70,2577
AVOCA,75,3467
AVOCA,72,4670
AVOCA,74,7213
AVOCA BEACH,70,2251
AVOCA DELL,73,5253
AVOCA VALE,72,4306
AVON,70,2574
AVON,73,5501
AVON DOWNS,71,862
AVON PLAINS,75,3478
AVON VALLEY NATIONAL PARK,76,6084
AVONDALE,70,2530
AVONDALE,72,4670
AVONDALE HEIGHTS,75,3034
AVONMORE,75,3559
AVONSIDE,70,2628
AVONSLEIGH,75,3782
AWABA,70,2283
AXE CREEK,75,3551
AXEDALE,75,3551
AYLMERTON,70,2575
AYR,72,4807
AYRFORD,75,3268
BAAN BAA,70,2390
BAANDEE,76,6412
BABAKIN,76,6428
BABBAGE ISLAND,76,6701
BABINDA,70,2825
BABINDA,72,4861
BABYL CREEK,70,2470
BACCHUS MARSH,75,3340
BACK CREEK,70,2372
BACK CREEK,70,2390
BACK CREEK,70,2422
BACK CREEK,70,2480
BACK CREEK,70,2484
BACK CREEK,70,2622
BACK CREEK,70,2671
BACK FOREST,70,2535
BACK PLAINS,72,4361
BACK VALLEY,73,5211
BACKMEDE,70,2470
BACKWATER,70,2365
BADDAGINNIE,75,3670
BADEN,74,7120
BADGEBUP,76,6317
BADGER CREEK,75,3777
BADGER HEAD,74,7270
BADGERIN ROCK,76,6475
BADGERYS CREEK,70,2555
BADGIN,76,6302
BADGINGARRA,76,6521
BADJA,70,2630
BADJALING,76,6383
BADU ISLAND,72,4875
BAEL BAEL,75,3579
BAERAMI,70,2333
BAERAMI CREEK,70,2333
BAFFLE CREEK,72,4674
BAFFLE WEST,72,4454
BAGDAD,74,7030
BAGDAD NORTH,74,7030
BAGNOO,70,2446
BAGO,70,2446
BAGO,70,2730
BAGOT,71,820
BAGOT WELL,73,5373
BAGOTVILLE,70,2477
BAGSHOT,75,3551
BAGSHOT NORTH,75,3551
BAHGALLAH,75,3312
BAHRS SCRUB,72,4207
BAILIESTON,75,3608
BAILUP,76,6082
BAIRD BAY,73,5671
BAIRNSDALE,75,3875
BAJOOL,72,4699
BAKARA,73,5354
BAKARA WELL,73,5354
BAKERS BEACH,74,7307
BAKERS BEND,72,4470
BAKERS CREEK,70,2358
BAKERS CREEK,70,2422
BAKERS CREEK,70,2447
BAKERS CREEK,72,4740
BAKERS HILL,76,6562
BAKERS SWAMP,70,2820
BAKERY HILL,75,3350
BAKERY HILL,75,3354
BAKING BOARD,72,4413
BALACLAVA,75,3183
BALAKLAVA,73,5461
BALALA,70,2358
BALBARRUP,76,6258
BALBERRA,72,4740
BALCATTA,76,6021
BALCATTA,76,6914
BALCOLYN,70,2264
BALCOMBA,72,4702
BALD BLAIR,70,2365
BALD HILLS,70,2549
BALD HILLS,75,3364
BALD HILLS,72,4036
BALD HILLS,73,5203
BALD KNOB,72,4552
BALD NOB,70,2370
BALD RIDGE,70,2795
BALDERSLEIGH,70,2365
BALDINA,73,5417
BALDIVIS,76,6171
BALDRY,70,2867
BALFES CREEK,72,4820
BALFOURS PEAK,70,2402
BALGA,76,6061
BALGAL BEACH,72,4816
BALGOWAN,72,4401
BALGOWAN,73,5573
BALGOWLAH,70,2093
BALGOWLAH HEIGHTS,70,2093
BALGOWNIE,70,2519
BALHANNAH,73,5242
BALICKERA,70,2324
BALINGUP,76,6253
BALINTORE,75,3249
BALKULING,76,6383
BALL BAY,72,4741
BALLA BALLA,76,6714
BALLADONG,76,6302
BALLADONIA,76,6443
BALLADORAN,70,2831
BALLAJURA,76,6066
BALLALABA,70,2622
BALLAN,75,3342
BALLANDEAN,72,4382
BALLANGEICH,75,3279
BALLAPUR,75,3483
BALLARAT,75,3350
BALLARAT,75,3353
BALLARAT CENTRAL,75,3350
BALLARAT EAST,75,3350
BALLARAT NORTH,75,3350
BALLARAT WEST,75,3350
BALLARD,72,4352
BALLAROO,72,4455
BALLAST HEAD,73,5221
BALLAYING,76,6315
BALLDALE,70,2646
BALLENDELLA,75,3561
BALLENGARRA,70,2441
